,custody_type,race,death_type,age
402,2,4,5,53.0
403,3,1,1,28.0
404,3,4,3,29.0
405,2,3,5,55.0
406,0,1,5,44.0
407,2,1,5,61.0
408,2,3,5,43.0
409,2,3,5,61.0
410,2,3,5,24.0
411,2,1,5,83.0
412,2,1,5,82.0
413,2,4,5,61.0
414,2,1,5,65.0
415,2,3,5,53.0
416,2,3,5,58.0
417,2,3,5,72.0
418,0,3,5,39.0
419,2,3,5,58.0
420,0,1,5,61.0
421,2,4,5,72.0
422,2,1,5,65.0
423,3,4,3,34.0
424,2,3,5,73.0
425,2,4,5,52.0
426,2,1,5,65.0
427,2,1,5,73.0
428,2,3,5,59.0
429,2,3,5,54.0
430,2,3,5,59.0
431,2,3,5,52.0
432,3,3,3,33.0
433,2,3,5,63.0
434,2,3,5,51.0
435,2,3,5,68.0
436,0,4,6,68.0
437,2,4,5,71.0
438,2,4,5,59.0
439,2,4,7,54.0
440,3,4,3,23.0
441,2,4,5,60.0
442,2,4,5,62.0
443,3,3,3,26.0
444,3,3,2,40.0
445,3,3,3,34.0
446,2,1,5,30.0
447,3,3,3,24.0
448,3,1,3,27.0
449,0,3,5,48.0
450,0,4,7,40.0
451,2,1,5,73.0
452,0,3,5,55.0
453,2,4,5,58.0
454,2,4,5,64.0
455,2,4,5,48.0
456,2,4,5,66.0
457,2,4,5,51.0
458,3,4,0,32.0
459,0,4,5,47.0
460,2,4,5,51.0
461,3,1,1,22.0
462,0,1,7,30.0
463,2,1,5,72.0
464,3,3,6,32.0
465,2,1,5,78.0
466,2,4,5,54.0
467,3,3,7,33.0
468,3,4,3,40.0
469,2,1,5,66.0
470,2,1,5,64.0
471,2,1,7,41.0
472,2,1,5,52.0
473,0,3,5,49.0
474,2,1,5,50.0
475,3,4,1,24.0
476,2,3,5,54.0
477,3,1,2,38.0
478,0,1,2,18.0
479,2,1,7,41.0
480,1,1,7,46.0
481,0,1,5,46.0
482,2,1,7,55.0
483,0,1,7,42.0
484,2,1,5,56.0
485,2,4,5,48.0
486,3,6,3,16.0
487,2,1,5,46.0
488,2,1,5,43.0
489,0,1,5,51.0
490,2,3,5,70.0
491,2,3,5,59.0
492,3,3,2,36.0
493,2,4,7,44.0
494,2,3,5,35.0
495,2,4,5,49.0
496,2,4,5,40.0
497,2,4,5,45.0
498,2,4,5,50.0
499,3,4,3,45.0
500,2,4,5,64.0
501,2,4,5,66.0
502,2,2,5,70.0
503,2,1,5,66.0
504,2,4,5,27.0
505,1,4,6,59.0
506,2,4,5,49.0
507,2,1,2,39.0
508,0,4,5,34.0
509,2,1,6,63.0
510,3,4,3,21.0
511,2,4,5,57.0
512,0,1,5,36.0
513,2,3,7,51.0
514,2,4,5,60.0
515,2,3,5,73.0
516,2,1,7,51.0
517,2,3,5,71.0
518,2,1,5,74.0
519,2,1,5,76.0
520,2,3,5,45.0
521,0,3,5,51.0
522,2,3,5,55.0
523,0,3,4,32.0
524,2,4,5,38.0
525,2,1,5,66.0
526,2,1,1,53.0
527,2,1,5,50.0
528,0,4,7,27.0
529,2,3,5,70.0
530,0,3,5,53.0
531,2,3,5,44.0
532,2,1,5,68.0
533,3,4,1,32.0
534,2,4,5,44.0
535,2,1,5,77.0
536,2,3,5,49.0
537,2,3,5,51.0
538,2,1,5,67.0
539,1,3,2,42.0
540,0,3,5,70.0
541,2,3,5,39.0
542,2,3,5,54.0
543,3,3,7,30.0
544,0,4,5,52.0
545,2,4,5,78.0
546,2,4,5,63.0
547,2,2,5,67.0
548,2,4,5,52.0
549,3,4,3,63.0
550,3,4,3,56.0
551,0,4,4,44.0
552,2,1,5,61.0
553,2,3,5,60.0
554,3,3,3,43.0
555,0,1,5,76.0
556,2,3,5,69.0
557,0,1,6,50.0
558,0,1,5,56.0
559,2,3,5,63.0
560,2,1,5,57.0
561,3,3,3,53.0
562,0,3,5,57.0
563,2,1,5,72.0
564,3,1,7,61.0
565,2,1,5,81.0
566,2,1,5,67.0
567,2,1,5,58.0
568,2,3,5,54.0
